# WELL TRACE FROM PETREL 
# WELL NAME:              F-12
# DEFINITIVE SURVEY:      REF
# WELL HEAD X-COORDINATE: 435050.21000000 (m)
# WELL HEAD Y-COORDINATE: 6478566.23000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 54.90000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM ED50-UTM31 ("MENTOR:ED50-UTM31:European 1950 Based UTM, Zone 31 North, Meter") [SIS,501080]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
 908.00000000 435023.16459 6478596.0403 -847.7437534 902.64375338 -27.04541045 29.810341836 261.64993555 14.294391269 1.5178751283 262.59795277
 913.00000000 435021.95055 6478595.8768 -852.5912535 907.49125351 -28.25945186 29.646758092 261.10198278 14.080000000 1.5178751283 262.05000000
 918.00000000 435020.75273 6478595.7040 -857.4424747 912.34247474 -29.45727081 29.474015102 260.58691719 13.944448151 1.1051569670 261.53493441
 923.00000000 435019.56783 6478595.5221 -862.2965351 917.19653508 -30.64217495 29.292142963 260.06198278 13.810000000 1.1051569670 261.01000000
 928.00000000 435018.39039 6478595.3334 -867.1521559 922.05215590 -31.81960752 29.103447375 259.83222802 13.794893098 0.3411440976 260.78024524
 933.00000000 435017.21498 6478595.1402 -872.0080889 926.90808885 -32.99501915 28.910232916 259.60198278 13.780000000 0.3411440976 260.55000000
 938.00000000 435016.03893 6478594.9444 -876.8637602 931.76376016 -34.17107418 28.714377818 259.59195440 13.819999798 0.2404275659 260.53997162
 943.00000000 435014.85956 6478594.7478 -881.7185976 936.61859764 -35.35043730 28.517760253 259.58198278 13.860000000 0.2404275659 260.53000000
 948.00000000 435013.67641 6478594.5507 -886.5724942 941.47249420 -36.53358585 28.320672629 259.60707087 13.909998727 0.3021593612 260.55508809
 953.00000000 435012.48900 6478594.3534 -891.4253418 946.32534183 -37.72099693 28.123407399 259.63198278 13.960000000 0.3021593612 260.58000000
 958.00000000 435011.29524 6478594.1597 -896.2767719 951.17677188 -38.91475695 27.929670973 260.03435493 14.044671292 0.7741579570 260.98237215
 963.00000000 435010.09305 6478593.9732 -901.1264018 956.02640178 -40.11694889 27.743170319 260.43198278 14.130000000 0.7741579570 261.38000000
 968.00000000 435008.87902 6478593.7993 -905.9735457 960.87354570 -41.33097911 27.569299584 261.36649799 14.278215369 1.6382049949 262.31451521
 973.00000000 435007.64976 6478593.6435 -910.8174608 965.71746084 -42.56023961 27.413454836 262.28198278 14.430000000 1.6382049949 263.23000000
 978.00000000 435006.40628 6478593.5050 -915.6582737 970.55827369 -43.80371894 27.275033656 263.11446464 14.563554463 1.4850719281 264.06248186
 983.00000000 435005.14959 6478593.3834 -920.4961239 975.39612388 -45.06040870 27.153432860 263.93198278 14.700000000 1.4850719281 264.88000000
 988.00000000 435003.88147 6478593.2750 -925.3313041 980.23130413 -46.32852867 27.044993079 264.39517233 14.804543837 0.9456540902 265.34318955
 993.00000000 435002.60369 6478593.1761 -930.1641430 985.06414296 -47.60630784 26.946053910 264.85198278 14.910000000 0.9456540902 265.80000000
 998.00000000 435001.31810 6478593.0854 -934.9950717 989.89507168 -48.89189851 26.855391204 265.18338242 14.974762781 0.6433154974 266.13139964
 1003.0000000 435000.02654 6478593.0018 -939.8245347 994.72453468 -50.18345644 26.771780512 265.51198278 15.040000000 0.6433154974 266.46000000
 1008.0000000 434998.72980 6478592.9274 -944.6527580 999.55275798 -51.48020009 26.697433662 266.02848345 15.084418405 0.8482807289 266.97650067
 1013.0000000 434997.42865 6478592.8646 -949.4799593 1004.3799593 -52.78134567 26.634562572 266.54198278 15.130000000 0.8482807289 267.49000000
 1018.0000000 434996.12497 6478592.8108 -954.3065858 1009.2065858 -54.08503250 26.580835308 266.84207957 15.134802050 0.4709241339 267.79009679
 1023.0000000 434994.82060 6478592.7639 -959.1330984 1014.0330984 -55.38940356 26.533919747 267.14198278 15.140000000 0.4709241339 268.09000000
 1028.0000000 434993.51727 6478592.7234 -963.9599519 1018.8599519 -56.69272853 26.493406504 267.40139435 15.104851585 0.4575536470 268.34941157
 1033.0000000 434992.21672 6478592.6889 -968.7876013 1023.6876013 -57.99327717 26.458886182 267.66198278 15.070000000 0.4575536470 268.61000000
 1038.0000000 434990.92866 6478592.6613 -973.6186385 1028.5186385 -59.28134278 26.431301017 267.99112044 14.804758130 1.6708726669 268.93913766
 1043.0000000 434989.66280 6478592.6416 -978.4555849 1033.3555849 -60.54720001 26.411593623 268.33198278 14.540000000 1.6708726669 269.28000000
 1048.0000000 434988.41458 6478592.6278 -983.2971410 1038.1971410 -61.79541621 26.397837403 268.51008417 14.384931966 0.9679269071 269.45810139
 1053.0000000 434987.17943 6478592.6181 -988.1420574 1043.0420574 -63.03057216 26.388105503 268.69198278 14.230000000 0.9679269071 269.64000000
 1058.0000000 434985.95250 6478592.6104 -992.9890699 1047.8890699 -64.25750380 26.380449731 268.69696898 14.189999948 0.2401126466 269.64498619
 1063.0000000 434984.72895 6478592.6029 -997.8369381 1052.7369381 -65.48105319 26.372921839 268.70198278 14.150000000 0.2401126466 269.65000000
 1068.0000000 434983.50563 6478592.5931 -1002.684861 1057.5848611 -66.70436910 26.363145327 268.48646317 14.184904163 0.3795131851 269.43448039
 1073.0000000 434982.27940 6478592.5787 -1007.532036 1062.4320357 -67.93059969 26.348743694 268.27198278 14.220000000 0.3795131851 269.22000000
 1078.0000000 434981.04850 6478592.5550 -1012.377987 1067.2779874 -69.16149836 26.324998655 267.62344948 14.299131086 1.0696046631 268.57146669
 1083.0000000 434979.81119 6478592.5172 -1017.222215 1072.1222148 -70.39881156 26.287192079 266.98198278 14.380000000 1.0696046631 267.93000000
 1088.0000000 434978.56686 6478592.4606 -1022.064458 1076.9644580 -71.64313779 26.230620327 265.91949799 14.482647912 1.7039211925 266.86751521
 1093.0000000 434977.31494 6478592.3806 -1026.904409 1081.8044094 -72.89506311 26.150580548 264.87198278 14.590000000 1.7039211925 265.82000000
 1098.0000000 434976.05873 6478592.2758 -1031.742778 1086.6427780 -74.15126778 26.045816265 263.69885327 14.627080662 1.7891320410 264.64687048
 1103.0000000 434974.80157 6478592.1451 -1036.580265 1091.4802649 -75.40842986 25.915071801 262.53198278 14.670000000 1.7891320410 263.48000000
 1108.0000000 434973.54269 6478591.9871 -1041.416488 1096.3164877 -76.66731352 25.757050280 261.26571493 14.741590098 1.9759078636 262.21373215
 1113.0000000 434972.28132 6478591.8005 -1046.251045 1101.1510447 -77.92867789 25.570456215 260.01198278 14.820000000 1.9759078636 260.96000000
 1118.0000000 434971.01445 6478591.5852 -1051.082970 1105.9829695 -79.19554589 25.355231551 258.81461383 14.976940560 2.0732353760 259.76263104
 1123.0000000 434969.73906 6478591.3413 -1055.911285 1110.8112853 -80.47093745 25.111319657 257.64198278 15.140000000 2.0732353760 258.59000000
 1128.0000000 434968.45047 6478591.0680 -1060.734512 1115.6345120 -81.75952987 24.838009354 256.52214944 15.422293579 2.4503701986 257.47016666
 1133.0000000 434967.14401 6478590.7646 -1065.551124 1120.4511237 -83.06598754 24.534593218 255.44198278 15.710000000 2.4503701986 256.39000000
 1138.0000000 434965.81693 6478590.4311 -1070.360096 1125.2600957 -84.39306879 24.201109411 254.46104154 16.067861787 2.6844662486 255.40905876
 1143.0000000 434964.46648 6478590.0676 -1075.160372 1130.0603715 -85.74352184 23.837599920 253.52198278 16.430000000 2.6844662486 254.47000000
 1148.0000000 434963.08534 6478589.6688 -1079.949075 1134.8490751 -87.12465565 23.438760490 252.38588078 17.002050134 3.9526740784 253.33389800
 1153.0000000 434961.66629 6478589.2293 -1084.723104 1139.6231038 -88.54371126 22.999308428 251.32198278 17.580000000 3.9526740784 252.27000000
 1158.0000000 434960.20768 6478588.7502 -1089.481356 1144.3813559 -90.00232262 22.520187102 250.42851030 18.198064751 4.0574586934 251.37652752
 1163.0000000 434958.70789 6478588.2323 -1094.222709 1149.1227092 -91.50211151 22.002347437 249.59198278 18.820000000 4.0574586934 250.54000000
 1168.0000000 434957.17181 6478587.6771 -1098.948185 1153.8481848 -93.03818928 21.447119255 248.77680769 19.328278372 3.4430720799 249.72482491
 1173.0000000 434955.60430 6478587.0858 -1103.658929 1158.5589286 -94.60570236 20.855822912 248.00198278 19.840000000 3.4430720799 248.95000000
 1178.0000000 434954.01014 6478586.4663 -1108.357094 1163.2570938 -96.19985550 20.236308497 247.63108940 20.179623653 2.1753611566 248.57910661
 1183.0000000 434952.39408 6478585.8264 -1113.045024 1167.9450236 -97.81591504 19.596403828 247.27198278 20.520000000 2.1753611566 248.22000000
 1188.0000000 434950.76257 6478585.1733 -1117.725781 1172.6257809 -99.44743331 18.943337147 247.20156135 20.649985889 0.7939380713 248.14957857
 1193.0000000 434949.12200 6478584.5143 -1122.402538 1177.3025375 -101.0879998 18.284322079 247.13198278 20.780000000 0.7939380713 248.08000000
 1198.0000000 434947.47544 6478583.8511 -1127.076588 1181.9765884 -102.7345574 17.621072507 247.09190019 20.824995360 0.2831608658 248.03991741
 1203.0000000 434945.82595 6478583.1853 -1131.749243 1186.6492432 -104.3840540 16.955300274 247.05198278 20.870000000 0.2831608658 248.00000000
 1208.0000000 434944.17923 6478582.5241 -1136.423529 1191.3235289 -106.0307706 16.294115799 247.30025251 20.719819521 1.0448104840 248.24826973
 1213.0000000 434942.54102 6478581.8746 -1141.102446 1196.0024458 -107.6689788 15.644633261 247.55198278 20.570000000 1.0448104840 248.50000000
 1218.0000000 434940.91793 6478581.2426 -1145.789013 1200.6890126 -109.2920718 15.012609486 248.00435344 20.219401279 2.3064470832 248.95237066
 1223.0000000 434939.31660 6478580.6338 -1150.486136 1205.3861359 -110.8934041 14.403816082 248.47198278 19.870000000 2.3064470832 249.42000000
 1228.0000000 434937.73547 6478580.0501 -1155.193284 1210.0932842 -112.4745314 13.820108173 249.11159637 19.543837897 2.3461270934 250.05961358
 1233.0000000 434936.17299 6478579.4933 -1159.909921 1214.8099208 -114.0370086 13.263340366 249.77198278 19.220000000 2.3461270934 250.72000000
 1238.0000000 434934.62391 6478578.9599 -1164.633680 1219.5336797 -115.5860890 12.729915022 250.33212779 19.049140608 1.5048430412 251.28014501
 1243.0000000 434933.08294 6478578.4462 -1169.362281 1224.2622807 -117.1270551 12.216223774 250.90198278 18.880000000 1.5048430412 251.85000000
 1248.0000000 434931.54571 6478577.9468 -1174.093630 1228.9936300 -118.6642909 11.716811073 251.20659308 18.854751727 0.6101319040 252.15461030
 1253.0000000 434930.00780 6478577.4562 -1178.825684 1233.7256844 -120.2021972 11.226215790 251.51198278 18.830000000 0.6101319040 252.46000000
 1258.0000000 434928.46454 6478576.9695 -1183.556393 1238.4563932 -121.7454592 10.739488619 251.58240977 18.949986867 0.7328042413 252.53042699
 1263.0000000 434926.91124 6478576.4817 -1188.283701 1243.1837013 -123.2987608 10.251680691 251.65198278 19.070000000 0.7328042413 252.60000000
 1268.0000000 434925.34741 6478575.9916 -1193.007301 1247.9073013 -124.8625856 9.7616077252 251.65198278 19.210000000 0.8400000000 252.60000000
 1273.0000000 434923.77258 6478575.4981 -1197.726881 1252.6268814 -126.4374157 9.2680859165 251.65198278 19.350000000 0.8400000000 252.60000000
 1278.0000000 434922.19018 6478575.0012 -1202.443574 1257.3435742 -128.0198177 8.7712008888 251.58678960 19.409988444 0.3826196866 252.53480682
 1283.0000000 434920.60364 6478574.5010 -1207.158527 1262.0585269 -129.6063633 8.2710367199 251.52198278 19.470000000 0.3826196866 252.47000000
 1288.0000000 434919.02341 6478573.9987 -1211.875365 1266.7753646 -131.1865925 7.7686661612 251.30902099 19.279874288 1.2169658671 252.25703821
 1293.0000000 434917.45997 6478573.4952 -1216.597677 1271.4976770 -132.7500334 7.2651657630 251.09198278 19.090000000 1.2169658671 252.04000000
 1298.0000000 434915.92843 6478572.9930 -1221.330561 1276.2305612 -134.2815719 6.7629881091 250.69868439 18.534568947 3.4183425049 251.64670160
 1303.0000000 434914.44399 6478572.4946 -1226.078841 1280.9788412 -135.7660067 6.2646146156 250.28198278 17.980000000 3.4183425049 251.23000000
 1308.0000000 434913.01266 6478572.0031 -1230.844110 1285.7441102 -137.1973447 5.7731281072 249.91232955 17.269633886 4.3147558376 250.86034677
 1313.0000000 434911.64046 6478571.5216 -1235.627773 1290.5277732 -138.5695426 5.2916298416 249.51198278 16.560000000 4.3147558376 250.46000000
 1318.0000000 434910.32465 6478571.0524 -1240.428485 1295.3284853 -139.8853480 4.8223937741 249.33446424 15.899921436 3.9716392075 250.28248146
 1323.0000000 434909.06246 6478570.5977 -1245.244976 1300.1449761 -141.1475381 4.3676844649 249.14198278 15.240000000 3.9716392075 250.09000000
 1328.0000000 434907.84465 6478570.1563 -1250.074141 1304.9741414 -142.3653493 3.9263148960 249.11770943 14.799998654 2.6402778098 250.06572665
 1333.0000000 434906.66192 6478569.7271 -1254.913115 1309.8131150 -143.5480840 3.4970744988 249.09198278 14.360000000 2.6402778098 250.04000000
 1338.0000000 434905.50238 6478569.3051 -1259.758354 1314.6583543 -144.7076213 3.0751066543 249.01767987 14.224988309 0.8175124190 249.96569709
 1343.0000000 434904.35412 6478568.8855 -1264.606489 1319.5064886 -145.8558829 2.6555393385 248.94198278 14.090000000 0.8175124190 249.89000000
 1348.0000000 434903.21119 6478568.4614 -1269.455484 1324.3554836 -146.9988079 2.2313650269 248.44007824 14.144483027 0.8039644456 249.38809546
 1353.0000000 434902.06766 6478568.0256 -1274.303306 1329.2033056 -148.1423353 1.7955761738 247.94198278 14.200000000 0.8039644456 248.89000000
 1358.0000000 434900.91784 6478567.5756 -1279.148336 1334.0483359 -149.2921601 1.3455917174 247.41980858 14.404442418 1.4504094094 248.36782580
 1363.0000000 434899.75603 6478567.1088 -1283.988916 1338.8889156 -150.4539673 0.8788344096 246.91198278 14.610000000 1.4504094094 247.86000000
 1368.0000000 434898.57528 6478566.6242 -1288.823139 1343.7231394 -151.6347160 0.3941833088 246.56377693 14.979748252 2.2817273236 247.51179415
 1373.0000000 434897.36866 6478566.1205 -1293.649017 1348.5490172 -152.8413439 -0.109473643 246.23198278 15.350000000 2.2817273236 247.18000000
 1378.0000000 434896.13154 6478565.5971 -1298.465052 1353.3650522 -154.0784587 -0.632874416 246.01063007 15.829894228 2.9013989752 246.95864728
 1383.0000000 434894.85936 6478565.0533 -1303.269661 1358.1696610 -155.3506444 -1.176746539 245.80198278 16.310000000 2.9013989752 246.75000000
 1388.0000000 434893.55578 6478564.4891 -1308.063505 1362.9635054 -156.6542247 -1.740859317 245.50523861 16.709798001 2.4515621293 246.45325583
 1393.0000000 434892.22446 6478563.9050 -1312.847313 1367.7473132 -157.9855391 -2.324988347 245.22198278 17.110000000 2.4515621293 246.17000000
 1398.0000000 434890.86845 6478563.3005 -1317.621635 1372.5216354 -159.3415530 -2.929518915 244.82971454 17.449630095 2.1543585068 245.77773176
 1403.0000000 434889.49076 6478562.6752 -1322.387060 1377.2870601 -160.7192410 -3.554839989 244.45198278 17.790000000 2.1543585068 245.40000000
 1408.0000000 434888.09158 6478562.0275 -1327.143221 1382.0432209 -162.1184215 -4.202512847 243.97819112 18.144441793 2.3003348139 244.92620834
 1413.0000000 434886.67109 6478561.3559 -1331.889734 1386.7897339 -163.5389067 -4.874095489 243.52198278 18.500000000 2.3003348139 244.47000000
 1418.0000000 434885.22702 6478560.6566 -1336.625091 1391.5250914 -164.9829818 -5.573445641 242.90825733 18.949035591 2.9420991168 243.85627455
